brand,is_right_hand_drive,confidence,reasoning
TOYOTA,true,high,Японская марка - 99% импорт из Японии в Приморье
NISSAN,true,high,Японская марка - 99% импорт из Японии в Приморье
HONDA,true,high,Японская марка - 99% импорт из Японии в Приморье (включая мото)
MITSUBISHI,true,high,Японская марка - 99% импорт из Японии в Приморье
SUZUKI,true,high,Японская марка - 99% импорт из Японии в Приморье
MAZDA,true,high,Японская марка - 99% импорт из Японии в Приморье
SUBARU,true,high,Японская марка - 99% импорт из Японии в Приморье
LEXUS,true,high,Японский премиум - 99% импорт из Японии
ISUZU,true,high,Японская марка - 99% импорт из Японии (грузовики/внедорожники)
DAIHATSU,true,high,Японская марка - 99% импорт из Японии
YAMAHA,true,high,Японская мото - RHD де-факто на ДВ
KAWASAKI,true,high,Японская мото - RHD де-факто на ДВ
INFINITI,true,high,Японский премиум (Nissan) - импорт из Японии
ACURA,true,high,Японский премиум (Honda) - импорт из Японии
HOLDEN,true,high,Австралийская марка - праворульный импорт из Австралии
MITSUOKA,true,high,Японская кастом-марка - праворульная
Datsun,true,high,Японский бренд (Nissan) - праворульный
HINDUSTAN,true,medium,Индийская марка (Ambassador) - исторически RHD
SCION,true,medium,Японский бренд (Toyota) - в основном RHD
JIANSHE-YAMAHA,true,medium,Совместный китайско-японский (Yamaha) - частично RHD
УАЗ,false,high,Российская марка - левый руль
ВАЗ,false,high,Российская марка (LADA) - левый руль
КАМАЗ,false,high,Российский грузовик - левый руль
ГАЗ,false,high,Российская марка - левый руль
ПАЗ,false,high,Российский автобус - левый руль
УРАЛ,false,high,Российский грузовик - левый руль
ИЖ,false,high,Российская марка - левый руль
ЗИЛ,false,high,Российский грузовик - левый руль
ЛИАЗ,false,high,Российский автобус - левый руль
МАЗ,false,high,Белорусский грузовик - левый руль
МОСКВИЧ,false,high,Российская марка - левый руль
МАЗ-МАН,false,high,Белорусско-немецкий грузовик - левый руль
НефАЗ,false,high,Российский (КАМАЗ) - левый руль
СимАЗ,false,high,Российский фургон - левый руль
КАВЗ,false,high,Российский автобус - левый руль
ЗАЗ,false,high,Украинская марка - левый руль
ВОСХОД,false,high,Советская мото - левый руль
ЗИД,false,high,Советская мото - левый руль
КРАЗ,false,high,Украинский грузовик - левый руль
ЛАЗ,false,high,Украинский автобус - левый руль
ЛУИДОР,false,high,Российский фургон - левый руль
HYUNDAI,false,high,Корейская марка - левый руль
KIA,false,high,Корейская марка - левый руль
DAEWOO,false,high,Корейская марка - левый руль
SSANGYONG,false,high,Корейская марка - левый руль
SAMSUNG,false,high,Корейская марка (Renault Samsung) - левый руль
ASIA,false,high,Корейская марка (Asia Motors/KIA) - левый руль
HYOSUNG,false,high,Корейская мото - левый руль
VOLVO,false,high,Шведская марка - левый руль
MERCEDES,false,high,Немецкая марка - левый руль
BMW,false,high,Немецкая марка - левый руль
AUDI,false,high,Немецкая марка - левый руль
VOLKSWAGEN,false,high,Немецкая марка - левый руль
PORSCHE,false,high,Немецкая марка - левый руль
OPEL,false,high,Немецкая марка - левый руль
MAN,false,high,Немецкий грузовик - левый руль
ALPINA,false,high,Немецкий тюнинг (BMW) - левый руль
WIESMANN,false,high,Немецкая марка - левый руль
SETRA,false,high,Немецкий автобус - левый руль
LIEBHERR,false,high,Немецкая спецтехника - левый руль
ADMIRAL,false,high,Немецкая марка - левый руль
ZUNDAPP,false,high,Немецкая мото - левый руль
SKODA,false,high,Чешская марка (VW) - левый руль
JAWA-CZ,false,high,Чешская мото - левый руль
CZ,false,high,Чешская мото - левый руль
FORD,false,high,Американская марка - левый руль
CHEVROLET,false,high,Американская марка - левый руль
CADILLAC,false,high,Американская марка - левый руль
JEEP,false,high,Американская марка - левый руль
DODGE,false,high,Американская марка - левый руль
CHRYSLER,false,high,Американская марка - левый руль
